Block,Plot,Flag,Pos,Flag_Pos,Source,Pop,Type,Trt,PlantDate,LeafMeas1,LeafMeas2,MortDate,DeathBy,MortBinaryCont,MortBinaryNom,Censor,DaysMort,Census,DaysCensus,NumDaysAlive,HarvDate,BudDate,Repro,DaysBud,NumBuds,FlowerDate,NumFlower,Height,Biomass,Biomass date,Notes
A,1,A1,01,A1_01,GUA-O,GUA,Off-road,Raking,2/27/2021,18.75,24,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,1,A1,02,A1_02,SSJ-O,SSJ,Off-road,Raking,2/27/2021,15.71,31,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
A,1,A1,03,A1_03,PEN-R,PEN,Roadside,Raking,2/27/2021,9.13,19,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
A,1,A1,04,A1_04,PAR-O,PAR,Off-road,Raking,2/27/2021,16.39,9,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,1,A1,05,A1_05,BAY-R,BAY,Roadside,Raking,2/27/2021,12.85,14,5/28/2021,,0,0,0,90,11/15/2021,261,90,,,0, ,,,,,,,
A,1,A1,06,A1_06,PEN-O,PEN,Off-road,Raking,3/8/2021,15,16,6/11/2021,,0,0,0,95,11/15/2021,252,95,,,0, ,,,,,,,
A,1,A1,07,A1_07,BAY-O,BAY,Off-road,Raking,3/19/2021,23,19,6/18/2021,,0,0,0,91,11/15/2021,241,91,,,0, ,,,,,,,
A,1,A1,08,A1_08,CHE-O,CHE,Off-road,Raking,3/8/2021,20,27,9/17/2021,,0,0,0,193,11/15/2021,252,193,9/17/2021,,0, ,,,,10.5,0.167,9/22/2021,
A,1,A1,09,A1_09,PAR-R,PAR,Roadside,Raking,3/24/2021,24,22,6/18/2021,,0,0,0,86,11/15/2021,236,86,,,0, ,,,,,,,
A,1,A1,10,A1_10,CHE-R,CHE,Roadside,Raking,2/27/2021,19.21,22,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
A,1,A1,11,A1_11,LEX-R,LEX,Roadside,Raking,3/8/2021,24,30,7/2/2021,,0,0,0,116,11/15/2021,252,116,,,0, ,,,,,,,
A,1,A1,12,A1_12,GUA-R,GUA,Roadside,Raking,2/27/2021,17.83,9,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,1,A1,13,A1_13,LEX-O,LEX,Off-road,Raking,2/27/2021,18.99,28,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,1,A1,14,A1_14,OAP-O,OAP,Off-road,Raking,2/27/2021,13.54,23,7/16/2021,,0,0,0,139,11/15/2021,261,139,7/16/2021,,0, ,,,,3.4,0.058,9/28/2021,
A,1,A1,15,A1_15,SSJ-R,SSJ,Roadside,Raking,2/27/2021,16,27,6/18/2021,,0,0,0,111,11/15/2021,261,111,,,0, ,,,,,,,
A,1,A1,16,A1_16,OAP-R,OAP,Roadside,Raking,2/27/2021,18.49,23,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,2,A2,01,A2_01,LEX-R,LEX,Roadside,Control,3/19/2021,30,27,7/30/2021,,0,0,0,133,11/15/2021,241,133,,,0, ,,,,,,,no body 
A,2,A2,02,A2_02,CHE-O,CHE,Off-road,Control,3/19/2021,23,16,7/2/2021,,0,0,0,105,11/15/2021,241,105,,,0, ,,,,,,,
A,2,A2,03,A2_03,PAR-R,PAR,Roadside,Control,2/27/2021,16.72,33,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/11/2021,1,104,11,,,12.5,0.101,9/8/2021,
A,2,A2,04,A2_04,OAP-R,OAP,Roadside,Control,2/27/2021,21.54,30,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,5/28/2021,1,90,17,,,13.4,0.102,9/8/2021,
A,2,A2,05,A2_05,CHE-R,CHE,Roadside,Control,2/27/2021,20.16,17,7/2/2021,,0,0,0,125,11/15/2021,261,125,,,0, ,,,,,,,
A,2,A2,06,A2_06,BAY-R,BAY,Roadside,Control,2/27/2021,25.33,19,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,7/2/2021,1,125,,,,8.1,0.059,9/8/2021,
A,2,A2,07,A2_07,PAR-O,PAR,Off-road,Control,2/27/2021,23.48,,3/29/2021,,0,0,0,30,11/15/2021,261,30,,,0, ,,,,,,,
A,2,A2,08,A2_08,SSJ-O,SSJ,Off-road,Control,2/27/2021,19.44,16,7/2/2021,,0,0,0,125,11/15/2021,261,125,,6/25/2021,1,118,2,,,,,,Had to remove buds before we decided to harvest when budding
A,2,A2,09,A2_09,GUA-O,GUA,Off-road,Control,2/27/2021,22.89,13,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,2,A2,10,A2_10,OAP-O,OAP,Off-road,Control,3/24/2021,24,33,,,1,1,1,-44279,11/15/2021,236,236,7/2/2021,6/25/2021,1,93,5,,,8.1,0.211,9/8/2021,
A,2,A2,11,A2_11,GUA-R,GUA,Roadside,Control,2/27/2021,25.89,,5/16/2021,,0,0,0,78,11/15/2021,261,78,,,0, ,,,,,,,
A,2,A2,12,A2_12,PEN-O,PEN,Off-road,Control,2/27/2021,13.68,21,8/12/2021,,0,0,0,166,11/15/2021,261,166,8/12/2021,,0, ,,,,5.4,0.071,9/7/2021,
A,2,A2,13,A2_13,BAY-O,BAY,Off-road,Control,2/27/2021,15.9,9,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,2,A2,14,A2_14,PEN-R,PEN,Roadside,Control,2/27/2021,12.06,15,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,2,A2,15,A2_15,LEX-O,LEX,Off-road,Control,2/27/2021,30.88,16,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,2,A2,16,A2_16,SSJ-R,SSJ,Roadside,Control,2/27/2021,13.26,11,5/28/2021,,0,0,0,90,11/15/2021,261,90,,,0, ,,,,,,,
A,3,A3,01,A3_01,OAP-O,OAP,Off-road,Raking + Clipping,3/8/2021,26,,4/16/2021,Squirrel,0,0,0,39,11/15/2021,252,39,,,0, ,,,,,,,Dead due to squirrel activity
A,3,A3,02,A3_02,PAR-R,PAR,Roadside,Raking + Clipping,2/27/2021,21.83,17,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,5/28/2021,1,90,11,6/11/2021,3,7.4,0.041,9/8/2021,
A,3,A3,03,A3_03,PEN-R,PEN,Roadside,Raking + Clipping,2/27/2021,11.09,,5/16/2021,,0,0,0,78,11/15/2021,261,78,,,0, ,,,,,,,
A,3,A3,04,A3_04,GUA-O,GUA,Off-road,Raking + Clipping,3/8/2021,20,33,6/18/2021,,0,0,0,102,11/15/2021,252,102,,,0, ,,,,,,,
A,3,A3,05,A3_05,BAY-O,BAY,Off-road,Raking + Clipping,2/27/2021,10.34,27,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/11/2021,1,104,8,,,9.7,0.060,9/8/2021,
A,3,A3,06,A3_06,OAP-R,OAP,Roadside,Raking + Clipping,2/27/2021,26.94,26,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/11/2021,1,104,24,,,18.7,0.400,9/8/2021,
A,3,A3,07,A3_07,PEN-O,PEN,Off-road,Raking + Clipping,3/8/2021,16,24,6/11/2021,,0,0,0,95,11/15/2021,252,95,,,0, ,,,,,,,
A,3,A3,08,A3_08,LEX-O,LEX,Off-road,Raking + Clipping,3/8/2021,13,37,,,1,1,1,-44263,11/15/2021,252,252,7/2/2021,6/25/2021,1,109,2,,,5.9,0.189,9/8/2021,
A,3,A3,09,A3_09,PAR-O,PAR,Off-road,Raking + Clipping,2/27/2021,13.17,27,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/11/2021,1,104,13,,,8.9,0.060,9/8/2021,
A,3,A3,10,A3_10,GUA-R,GUA,Roadside,Raking + Clipping,3/8/2021,42,46,,,1,1,1,-44263,11/15/2021,252,252,7/2/2021,7/2/2021,1,116,,,,11.5,0.276,9/8/2021,Previously there was a mortality date of 7/2/2021... this is thought to be in error.
A,3,A3,11,A3_11,CHE-R,CHE,Roadside,Raking + Clipping,3/19/2021,25,39,7/16/2021,,0,0,0,119,11/15/2021,241,119,7/16/2021,,0, ,,,,7.0,0.115,9/28/2021,
A,3,A3,12,A3_12,SSJ-R,SSJ,Roadside,Raking + Clipping,3/19/2021,32,24,7/2/2021,,0,0,0,105,11/15/2021,241,105,,,0, ,,,,,,,
A,3,A3,13,A3_13,SSJ-O,SSJ,Off-road,Raking + Clipping,2/27/2021,13.26,31,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/11/2021,1,104,23,,,13.0,0.314,9/8/2021,
A,3,A3,14,A3_14,LEX-R,LEX,Roadside,Raking + Clipping,2/27/2021,10.39,23,6/11/2021,,0,0,0,104,11/15/2021,261,104,,,0, ,,,,,,,
A,3,A3,15,A3_15,CHE-O,CHE,Off-road,Raking + Clipping,2/27/2021,21.13,25,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/11/2021,1,104,27,,,13.5,0.467,9/8/2021,
A,3,A3,16,A3_16,BAY-R,BAY,Roadside,Raking + Clipping,3/8/2021,22,16,6/11/2021,,0,0,0,95,11/15/2021,252,95,,,0, ,,,,,,,
A,4,A4,01,A4_01,LEX-R,LEX,Roadside,+Hemizonia,2/27/2021,19.7,27,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/25/2021,1,118,1,,,7.9,0.111,9/8/2021,
A,4,A4,02,A4_02,SSJ-O,SSJ,Off-road,+Hemizonia,2/27/2021,21,20,,,1,1,1,-44254,11/15/2021,261,261,7/2/2021,6/11/2021,1,104,7,,,8.7,0.087,9/8/2021,
