Block,Plot,Flag,Pos,Flag_Pos,Population,Site,Habitat,Treatment,PlantDate,LeafMeas1,LeafMeas2,Growth,MortDate,DeathBy,MortBinaryCont,MortBinaryNom,Censor,DaysMort,Census,DaysCensus,NumDaysAlive,HarvDate,BudDate,Repro,DaysBud,NumBuds,FlowerDate,NumFlower,Height,Biomass,Biomass date,Notes
A,1,A1,1,A1_01,GUA-O,GUA,Off-road,Raking,2/27/21,18.75,24,5.25,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,1,A1,2,A1_02,SSJ-O,SSJ,Off-road,Raking,2/27/21,15.71,31,15.29,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
A,1,A1,3,A1_03,PEN-R,PEN,Roadside,Raking,2/27/21,9.13,19,9.87,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
A,1,A1,4,A1_04,PAR-O,PAR,Off-road,Raking,2/27/21,16.39,9,-7.39,6/11/21,,0,0,0,104,11/15/21,261,104,,,0, ,,,,,,,
A,1,A1,5,A1_05,BAY-R,BAY,Roadside,Raking,2/27/21,12.85,14,1.15,5/28/21,,0,0,0,90,11/15/21,261,90,,,0, ,,,,,,,
A,1,A1,6,A1_06,PEN-O,PEN,Off-road,Raking,3/8/21,15,16,1,6/11/21,,0,0,0,95,11/15/21,252,95,,,0, ,,,,,,,
A,1,A1,7,A1_07,BAY-O,BAY,Off-road,Raking,3/19/21,23,19,-4,6/18/21,,0,0,0,91,11/15/21,241,91,,,0, ,,,,,,,
A,1,A1,8,A1_08,CHE-O,CHE,Off-road,Raking,3/8/21,20,27,7,9/17/21,,0,0,0,193,11/15/21,252,193,9/17/21,,0, ,,,,10.5,0.167,9/22/21,
A,1,A1,9,A1_09,PAR-R,PAR,Roadside,Raking,3/24/21,24,22,-2,6/18/21,,0,0,0,86,11/15/21,236,86,,,0, ,,,,,,,
A,1,A1,10,A1_10,CHE-R,CHE,Roadside,Raking,2/27/21,19.21,22,2.79,6/18/21,,0,0,0,111,11/15/21,261,111,,,0, ,,,,,,,
A,1,A1,11,A1_11,LEX-R,LEX,Roadside,Raking,3/8/21,24,30,6,7/2/21,,0,0,0,116,11/15/21,252,116,,,0, ,,,,,,,
