Num,PopName,PopType,TypeAlpha,Pop,Rep,DishNum,PopNum,DishType,ID,SurvivalID,NoGerm,TotGerm,PropGerm,Label,PlantDate,GermDate,CensorJMP,CensorR,DaysGermYes,Census,DaysCensus,DaysToGerm
1,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed1Date,44398,44400,0,1,2,44411,13,2
2,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed2Date,44398,44400,0,1,2,44411,13,2
3,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed3Date,44398,44400,0,1,2,44411,13,2
4,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed4Date,44398,44403,0,1,5,44411,13,5
5,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed5Date,44398,44404,0,1,6,44411,13,6
6,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed6Date,44398,44404,0,1,6,44411,13,6
7,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed7Date,44398,44404,0,1,6,44411,13,6
8,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed8Date,44398,44406,0,1,8,44411,13,8
9,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed9Date,44398,44406,0,1,8,44411,13,8
10,BAY,Off-road,O,BAY-O,A,1,1,Forest,A_1_Forest,Forest_O,1,9,0.9,Seed10Date,44398,,1,0,-44398,44411,13,13
11,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed1Date,44398,44400,0,1,2,44411,13,2
12,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed2Date,44398,44400,0,1,2,44411,13,2
13,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed3Date,44398,44400,0,1,2,44411,13,2
14,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed4Date,44398,44400,0,1,2,44411,13,2
15,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed5Date,44398,44401,0,1,3,44411,13,3
16,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed6Date,44398,44401,0,1,3,44411,13,3
17,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed7Date,44398,44401,0,1,3,44411,13,3
18,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed8Date,44398,44403,0,1,5,44411,13,5
19,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed9Date,44398,44403,0,1,5,44411,13,5
20,BAY,Off-road,O,BAY-O,A,1,1,Construction,A_1_Construction,Construction_O,1,9,0.9,Seed10Date,44398,,1,0,-44398,44411,13,13
21,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed1Date,44398,44400,0,1,2,44411,13,2
22,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed2Date,44398,44400,0,1,2,44411,13,2
23,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed3Date,44398,44401,0,1,3,44411,13,3
24,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed4Date,44398,44401,0,1,3,44411,13,3
25,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed5Date,44398,44401,0,1,3,44411,13,3
26,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed6Date,44398,44401,0,1,3,44411,13,3
27,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed7Date,44398,44401,0,1,3,44411,13,3
28,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed8Date,44398,44401,0,1,3,44411,13,3
29,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed9Date,44398,44402,0,1,4,44411,13,4
30,BAY,Off-road,O,BAY-O,B,2,1,Forest,B_1_Forest,Forest_O,1,9,0.9,Seed10Date,44398,,1,0,-44398,44411,13,13
31,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed1Date,44398,44400,0,1,2,44411,13,2
32,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed2Date,44398,44400,0,1,2,44411,13,2
33,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed3Date,44398,44400,0,1,2,44411,13,2
34,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed4Date,44398,44400,0,1,2,44411,13,2
35,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed5Date,44398,44401,0,1,3,44411,13,3
36,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed6Date,44398,44401,0,1,3,44411,13,3
37,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed7Date,44398,44401,0,1,3,44411,13,3
38,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed8Date,44398,44402,0,1,4,44411,13,4
39,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed9Date,44398,44404,0,1,6,44411,13,6
40,BAY,Off-road,O,BAY-O,B,2,1,Construction,B_1_Construction,Construction_O,0,10,1,Seed10Date,44398,44407,0,1,9,44411,13,9
41,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed1Date,44398,44401,0,1,3,44411,13,3
42,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed2Date,44398,44401,0,1,3,44411,13,3
43,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed3Date,44398,44401,0,1,3,44411,13,3
44,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed4Date,44398,44401,0,1,3,44411,13,3
45,BAY,Off-road,O,BAY-O,C,3,1,Forest,C_1_Forest,Forest_O,3,7,0.7,Seed5Date,44398,44401,0,1,3,44411,13,3
