Block,Plot,Flag,Pos,Flag_Pos,Population,Site,Habitat,Treatment,HabitatTreatment,PlantDate,LeafMeas1,LeafMeas2,Growth,MortDate,MortHarvDate,CensorAll,DaysMort,Census,DaysCensus,NumDaysAlive,HarvDate,CensorBiomass,BudDate,CensorReproduction,CensorTest,PropBud,PropBudSite,Height,Biomass,Biomass date
A,5,A5,3,A5_03,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,3/19/21,30,46,16,,7/2/21,1,105,11/15/21,241,105,7/2/21,1,6/25/21,1,0,0.763,0.8,12.4,0.762,9/8/21
B,2,B2,15,B2_15,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,20.28,51,30.72,8/27/21,8/27/21,1,181,11/15/21,261,181,8/27/21,1,,0,1,0.763,0.8,33.8,7.048,9/7/21
C,2,C2,13,C2_13,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,27.01,,-27.01,4/30/21,4/30/21,1,62,11/15/21,261,62,,0,,0,1,0.763,0.8,,,
D,1,D1,13,D1_13,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,14.95,56,41.05,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,56.6,7.803,9/13/21
E,5,E5,6,E5_06,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,16.67,42,25.33,,7/16/21,1,139,11/15/21,261,139,7/16/21,1,7/16/21,1,0,0.763,0.8,21.5,2.572,9/3/21
F,1,F1,10,F1_10,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,26.14,45,18.86,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,55.2,16.301,9/22/21
G,1,G1,8,G1_08,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,3/9/21,20,36,16,,9/10/21,1,185,11/15/21,251,185,9/10/21,1,9/10/21,1,0,0.763,0.8,45.2,6.634,9/22/21
H,4,H4,4,H4_04,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,17.12,58,40.88,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.8,37.5,5.266,9/22/21
I,4,I4,12,I4_12,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,22.59,52,29.41,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.8,50.8,7.099,9/20/21
J,2,J2,3,J2_03,BAY-A,BAY,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,11.91,45,33.09,,9/13/21,1,198,11/15/21,261,198,9/13/21,1,9/10/21,1,0,0.763,0.8,48.5,4.164,9/20/21
A,5,A5,14,A5_14,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,19.08,37,17.92,,7/2/21,1,125,11/15/21,261,125,7/2/21,1,7/2/21,1,0,0.763,0.7,20.5,1.772,9/8/21
B,2,B2,10,B2_10,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,27.38,57,29.62,7/9/21,7/9/21,1,132,11/15/21,261,132,7/9/21,1,,0,1,0.763,0.7,29.5,5.889,9/7/21
C,2,C2,6,C2_06,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,25.83,51,25.17,,8/12/21,1,166,11/15/21,261,166,8/12/21,1,8/12/21,1,0,0.763,0.7,43.4,10.443,9/8/21
D,1,D1,9,D1_09,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,3/1/21,23,50,27,,9/10/21,1,193,11/15/21,259,193,9/10/21,1,9/10/21,1,0,0.763,0.7,47.1,13.618,9/22/21
E,5,E5,11,E5_11,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,9.35,36,26.65,,7/16/21,1,139,11/15/21,261,139,7/16/21,1,7/16/21,1,0,0.763,0.7,23.1,1.719,9/3/21
F,1,F1,15,F1_15,CHE-A,CHE,Roadside,Biomass Removal,Roadside/Biomass Removal,2/27/21,11.14,40,28.86,,9/10/21,1,195,11/15/21,261,195,9/10/21,1,9/10/21,1,0,0.763,0.7,48.5,10.664,9/22/21
