Plant_ID,Plot,Row,Column,Position,Competition,Treatment,PlantDate(L),Planting Person (L),LeftMeasure(mm),PlantDate R),Planting Person (R),RightMeasure(mm),%: 4/15/22,PER: 4/15/22,%: 4/21/22,PER: 4/21/22,PER: 4/29/22,Initial PER: 5/6/22,PER: 5/6/22,PER: 5/13/22,PER: 5/20/22,PER: 5/27/22,Mortality Date (L),Mortality Date (R),Notes
1,A1,A,1,A1,No Cloth,Water,3/17/2022,Miranda Melen,13,3/17/2022,Miranda Melen,10,14.2,1.326,17.6,1.376,1.333,1.164,1.326,1.285,,,5/20/22,5/13/22,
2,A1,A,2,A2,Weed Cloth,Water,3/17/2022,Miranda Melen,8,3/17/2022,Miranda Melen,12,15.4,1.344,24.9,1.485,1.309,1.191,1.303,1.295,,,5/20/22,5/20/22,
3,A1,B,1,B1,Weed Cloth,Fertilizer,3/17/2022,Miranda Melen,14,3/17/2022,Miranda Melen,12,14.3,1.327,20.4,1.417,1.371,,,,,,5/6/22,5/6/22,
4,A1,B,2,B2,No Cloth,Control,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,12,8.6,1.235,12.2,1.293,1.204,1.162,1.166,,,,5/13/22,5/13/22,
5,A1,C,1,C1,Weed Cloth,Control,3/17/2022,Miranda Melen,12,3/17/2022,Miranda Melen,11,11.2,1.279,16.1,1.354,1.224,1.194,1.179,1.159,,,5/20/22,5/13/22,
6,A1,C,2,C2,No Cloth,Fertilizer,3/17/2022,Miranda Melen,11,3/17/2022,Miranda Melen,15,10.3,1.262,13.5,1.314,1.270,1.148,1.299,,,,5/6/22,5/13/22,
7,A3,A,1,A1,No Cloth,Water,3/17/2022,Emma Snyder,10,3/25/2022,Emma Snyder,12,15.4,1.344,23.2,1.459,1.291,1.166,1.284,1.261,1.242,,5/27/22,5/13/22,
8,A3,A,2,A2,Weed Cloth,Fertilizer,3/17/2022,Emma Snyder,11,3/17/2022,Emma Snyder,5,11.1,1.276,16.6,1.361,1.320,1.239,1.289,1.291,1.266,,5/13/22,5/27/22,
9,A3,B,1,B1,No Cloth,Control,3/17/2022,Emma Snyder,12,3/17/2022,Emma Snyder,10,9.6,1.251,11.8,1.287,1.208,1.156,1.13,1.118,,,5/13/22,5/20/22,
10,A3,B,2,B2,Weed Cloth,Control,3/17/2022,Emma Snyder,14,3/17/2022,Emma Snyder,12,8.7,1.237,16.1,1.354,1.241,1.157,1.147,1.142,,,5/20/22,5/20/22,
