Pot ID,Block,Soil,Competition,Population,Site,Habitat,Biomass_date,Dittrichia_biomass,Grass_biomass,MeasurementDate_2,MeasurementDate_3,GrassHeight_cm_2,GrassHeight_cm_3,GrassGrowth,DittrichiaLLL_mm_2,DittrichiaLLL_mm_3,DittrichiaGrowth
1,1,Construction Soil,None,BAY-V,BAY,Vegetated,12/16/22,0.0015,,9/14/21,10/15/21,,,0,5.54,5.67,0.13
2,2,Construction Soil,None,BAY-V,BAY,Vegetated,12/9/22,0.0021,,9/15/21,10/16/21,,,0,7.58,6.09,-1.49
3,3,Construction Soil,None,BAY-V,BAY,Vegetated,12/13/22,0.0056,,9/15/21,10/16/21,,,0,10.42,13.34,2.92
4,4,Construction Soil,None,BAY-V,BAY,Vegetated,12/13/22,0.0073,,9/16/21,10/16/21,,,0,12.82,11.59,-1.23
5,5,Construction Soil,None,BAY-V,BAY,Vegetated,12/15/22,0.0065,,9/16/21,10/16/21,,,0,7.25,8.63,1.38
6,6,Construction Soil,None,BAY-V,BAY,Vegetated,12/12/22,0.0034,,9/16/21,10/17/21,,,0,7.1,6.96,-0.14
7,7,Construction Soil,None,BAY-V,BAY,Vegetated,12/14/22,0.0019,,9/16/21,10/17/21,,,0,11.05,5.84,-5.21
8,8,Construction Soil,None,BAY-V,BAY,Vegetated,12/11/22,0.005,,9/16/21,10/17/21,,,0,11.59,9.36,-2.23
9,1,Construction Soil,None,BAY-R,BAY,Roadside,12/16/22,0.0033,,9/14/21,10/15/21,,,0,8.73,7.53,-1.2
10,2,Construction Soil,None,BAY-R,BAY,Roadside,12/9/22,0.002,,9/15/21,10/16/21,,,0,11.55,6.19,-5.36
11,3,Construction Soil,None,BAY-R,BAY,Roadside,12/13/22,0.0036,,9/15/21,10/16/21,,,0,8.32,9.14,0.82
12,4,Construction Soil,None,BAY-R,BAY,Roadside,12/13/22,0.0007,,9/16/21,10/16/21,,,0,2.85,2.76,-0.09
13,5,Construction Soil,None,BAY-R,BAY,Roadside,12/11/22,0.0024,,9/16/21,10/16/21,,,0,7.32,5.14,-2.18
14,6,Construction Soil,None,BAY-R,BAY,Roadside,12/11/22,0.0051,,9/16/21,10/17/21,,,0,7.37,11.74,4.37
15,7,Construction Soil,None,BAY-R,BAY,Roadside,12/14/22,0.0045,,9/16/21,10/17/21,,,0,6.48,9.66,3.18
16,8,Construction Soil,None,BAY-R,BAY,Roadside,12/11/22,0.0017,,9/16/21,10/17/21,,,0,6.17,6.89,0.72
17,1,Construction Soil,None,CHE-V,CHE,Vegetated,12/16/22,0.0021,,9/14/21,10/15/21,,,0,8.59,6.47,-2.12
18,2,Construction Soil,None,CHE-V,CHE,Vegetated,12/9/22,0.001,,9/15/21,10/16/21,,,0,4.69,5.32,0.63
19,3,Construction Soil,None,CHE-V,CHE,Vegetated,12/13/22,0.0009,,9/15/21,10/16/21,,,0,5.06,4.22,-0.84
20,4,Construction Soil,None,CHE-V,CHE,Vegetated,12/12/22,0.0009,,9/16/21,10/16/21,,,0,3.65,4.23,0.58
21,5,Construction Soil,None,CHE-V,CHE,Vegetated,12/11/22,0.0007,,9/16/21,10/16/21,,,0,3.65,3.67,0.02
22,6,Construction Soil,None,CHE-V,CHE,Vegetated,12/12/22,0.0012,,9/16/21,10/17/21,,,0,3.34,4.21,0.87
23,7,Construction Soil,None,CHE-V,CHE,Vegetated,12/14/22,0.0008,,9/16/21,10/17/21,,,0,3.91,2.94,-0.97
24,8,Construction Soil,None,CHE-V,CHE,Vegetated,12/14/22,0.0027,,9/16/21,10/17/21,,,0,7.61,7.07,-0.54
25,1,Construction Soil,None,CHE-R,CHE,Roadside,12/15/22,0.0018,,9/15/21,10/15/21,,,0,6.52,5.65,-0.87
26,2,Construction Soil,None,CHE-R,CHE,Roadside,12/9/22,0.0041,,9/15/21,10/16/21,,,0,8.97,8.96,-0.01
27,3,Construction Soil,None,CHE-R,CHE,Roadside,12/13/22,0.0027,,9/15/21,10/16/21,,,0,7.57,6.21,-1.36
28,4,Construction Soil,None,CHE-R,CHE,Roadside,12/13/22,0.0013,,9/16/21,10/16/21,,,0,6.35,7.04,0.69
29,5,Construction Soil,None,CHE-R,CHE,Roadside,12/15/22,0.0015,,9/16/21,10/16/21,,,0,5.42,5.84,0.42
30,6,Construction Soil,None,CHE-R,CHE,Roadside,12/12/22,0.0016,,9/16/21,10/17/21,,,0,6.08,5.8,-0.28
31,7,Construction Soil,None,CHE-R,CHE,Roadside,12/14/22,0.0013,,9/16/21,10/17/21,,,0,4.62,3.85,-0.77
32,8,Construction Soil,None,CHE-R,CHE,Roadside,12/11/22,0.0012,,9/16/21,10/17/21,,,0,5.81,3.98,-1.83
33,1,Construction Soil,None,GUA-V,GUA,Vegetated,12/16/22,0.0032,,9/15/21,10/15/21,,,0,10.82,8.48,-2.34
34,2,Construction Soil,None,GUA-V,GUA,Vegetated,12/10/22,0.002,,9/15/21,10/15/21,,,0,5.55,7.95,2.4
35,3,Construction Soil,None,GUA-V,GUA,Vegetated,12/13/22,0.0026,,9/15/21,10/16/21,,,0,7.65,8.58,0.93
36,4,Construction Soil,None,GUA-V,GUA,Vegetated,12/12/22,0.0026,,9/16/21,10/16/21,,,0,5.39,5.96,0.57
37,5,Construction Soil,None,GUA-V,GUA,Vegetated,12/15/22,0.0011,,9/16/21,10/16/21,,,0,4.79,4.8,0.01
38,6,Construction Soil,None,GUA-V,GUA,Vegetated,12/11/22,0.0014,,9/16/21,10/17/21,,,0,5.55,6.49,0.94
39,7,Construction Soil,None,GUA-V,GUA,Vegetated,12/14/22,0.0016,,9/16/21,10/17/21,,,0,8.59,6.93,-1.66
40,8,Construction Soil,None,GUA-V,GUA,Vegetated,12/14/22,0.0044,,9/16/21,10/17/21,,,0,5.93,6.57,0.64
