Pot ID,Soil,Site,Block,Habitat,Competition,Population,Biomass_date,Dittrichia_biomass,LRR_All,Grass_biomass,MeasurementDate_2,MeasurementDate_3,GrassHeight_cm_2,GrassHeight_cm_3,GrassGrowth,DittrichiaLLL_mm_2,DittrichiaLLL_mm_3,DittrichiaGrowth
649,Field Soil,BAY,1,Roadside,Bromus,BAY-R,12/16/22,0.0221,-2.408126588,0.2153,9/14/21,10/15/21,29.3,29.1,-0.2,15.63,23.45,7.82
521,Field Soil,BAY,1,Roadside,Festuca,BAY-R,12/16/22,0.0068,-3.586781584,0.4136,9/15/21,10/15/21,53.6,71.8,18.2,7.39,9.48,2.09
393,Field Soil,BAY,1,Roadside,None,BAY-R,12/16/22,0.2456,,,9/14/21,10/15/21,,,0,50.59,59.48,8.89
641,Field Soil,BAY,1,Vegetated,Bromus,BAY-V,12/15/22,0.0088,-3.274998349,0.2721,9/15/21,10/15/21,29.8,31.5,1.7,8.41,13.92,5.51
513,Field Soil,BAY,1,Vegetated,Festuca,BAY-V,12/16/22,0.0024,-4.574281333,0.6312,9/14/21,10/15/21,55,65.1,10.1,7.75,9.71,1.96
385,Field Soil,BAY,1,Vegetated,None,BAY-V,12/15/22,0.2327,,,9/15/21,10/15/21,,,0,54.42,46.79,-7.63
665,Field Soil,CHE,1,Roadside,Bromus,CHE-R,12/15/22,0.0157,-2.062580444,0.2066,9/15/21,10/15/21,27.7,27.6,-0.1,10.98,16.64,5.66
537,Field Soil,CHE,1,Roadside,Festuca,CHE-R,12/16/22,0.0011,-4.720930976,0.9425,9/14/21,10/15/21,44.9,43.5,-1.4,3.22,4.68,1.46
409,Field Soil,CHE,1,Roadside,None,CHE-R,12/16/22,0.1235,,,9/14/21,10/15/21,,,0,24.81,48.46,23.65
657,Field Soil,CHE,1,Vegetated,Bromus,CHE-V,12/15/22,0.0054,-3.45643351,0.2476,9/15/21,10/15/21,29.5,32.1,2.6,8.46,12.23,3.77
529,Field Soil,CHE,1,Vegetated,Festuca,CHE-V,12/16/22,0.0007,-5.499507408,0.7109,9/14/21,10/15/21,51.5,51.2,-0.3,4.86,7.36,2.5
401,Field Soil,CHE,1,Vegetated,None,CHE-V,12/15/22,0.1712,,,9/15/21,10/15/21,,,0,36.63,45.94,9.31
681,Field Soil,GUA,1,Roadside,Bromus,GUA-R,12/16/22,0.0071,-2.676574069,0.2514,9/14/21,10/15/21,32.8,35.4,2.6,7.86,17.98,10.12
553,Field Soil,GUA,1,Roadside,Festuca,GUA-R,12/15/22,0.0016,-4.166665224,1.0852,9/15/21,10/15/21,52.1,56.1,4,6.54,7.29,0.75
425,Field Soil,GUA,1,Roadside,None,GUA-R,12/16/22,0.1032,,,9/14/21,10/15/21,,,0,32.98,48.47,15.49
673,Field Soil,GUA,1,Vegetated,Bromus,GUA-V,12/16/22,0.0287,-2.271083638,0.2087,9/14/21,10/15/21,30.7,34.7,4,20.07,28.22,8.15
545,Field Soil,GUA,1,Vegetated,Festuca,GUA-V,12/15/22,0.0027,-4.634728988,0.8403,9/15/21,10/15/21,55.2,62.5,7.3,5.21,10.16,4.95
417,Field Soil,GUA,1,Vegetated,None,GUA-V,12/15/22,0.2781,,,9/15/21,10/15/21,,,0,50.84,71.7,20.86
697,Field Soil,LEX,1,Roadside,Bromus,LEX-R,12/15/22,0.0106,-2.914706378,0.3139,9/15/21,10/15/21,29.2,33.4,4.2,10.98,19.51,8.53
569,Field Soil,LEX,1,Roadside,Festuca,LEX-R,12/15/22,0.0025,-4.359269648,0.7246,9/15/21,10/15/21,43,43.9,0.9,5.39,9.92,4.53
441,Field Soil,LEX,1,Roadside,None,LEX-R,12/16/22,0.1955,,,9/14/21,10/15/21,,,0,43,53.43,10.43
689,Field Soil,LEX,1,Vegetated,Bromus,LEX-V,12/16/22,0.0031,-4.206616622,0.2306,9/14/21,10/15/21,34.4,34.1,-0.3,6.87,10.72,3.85
561,Field Soil,LEX,1,Vegetated,Festuca,LEX-V,12/16/22,0.0046,-3.81196243,0.5023,9/14/21,10/15/21,42,46.3,4.3,8.19,13.58,5.39
433,Field Soil,LEX,1,Vegetated,None,LEX-V,12/16/22,0.2081,,,9/14/21,10/15/21,,,0,40.08,51.94,11.86
713,Field Soil,OAP,1,Roadside,Bromus,OAP-R,12/16/22,0.0092,-3.256422897,0.2968,9/14/21,10/15/21,35.7,35.4,-0.3,9.26,17.68,8.42
585,Field Soil,OAP,1,Roadside,Festuca,OAP-R,12/15/22,0.0016,-5.005622752,0.774,9/15/21,10/15/21,46.1,46.2,0.1,7.98,8.45,0.47
457,Field Soil,OAP,1,Roadside,None,OAP-R,12/15/22,0.2388,,,9/15/21,10/15/21,,,0,48.52,51.85,3.33
705,Field Soil,OAP,1,Vegetated,Bromus,OAP-V,12/15/22,0.0156,-2.978273052,0.2641,9/15/21,10/15/21,28.6,28.4,-0.2,13.07,17.32,4.25
577,Field Soil,OAP,1,Vegetated,Festuca,OAP-V,12/16/22,0.0212,-2.671542785,0.9979,9/14/21,10/15/21,70.3,40.6,-29.7,7.41,22.95,15.54
449,Field Soil,OAP,1,Vegetated,None,OAP-V,12/15/22,0.3066,,,9/15/21,10/15/21,,,0,53.91,57.46,3.55
729,Field Soil,PAR,1,Roadside,Bromus,PAR-R,12/16/22,0.0225,-2.59093361,0.2973,9/14/21,10/15/21,32.9,32.2,-0.7,16.45,24.97,8.52
