Num,Site,Habitat,Population,Rep,DishNum,PopNum,Treatment,ID,SurvivalID,NoGermDish,TotGermDish,PropGermDish,Label,PlantDate,GermDate,Censor,Census,DaysCensus,DaysToGerm
1,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
2,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed2Date,7/9/21,7/11/21,1,8/2/21,0,2
3,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed3Date,7/9/21,7/11/21,1,8/2/21,0,2
4,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed4Date,7/9/21,7/12/21,1,8/2/21,0,3
5,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed5Date,7/9/21,7/12/21,1,8/2/21,0,3
6,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed6Date,7/9/21,7/14/21,1,8/2/21,0,5
7,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed7Date,7/9/21,7/22/21,1,8/2/21,0,13
8,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed8Date,7/9/21,7/29/21,1,8/2/21,0,20
9,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed9Date,7/9/21,,NA,8/2/21,0,0
10,BAY,Vegetated,BAY-O,A,1,1,Filter,A_01,Filter_A,4,6,0.6,Seed10Date,7/9/21,,NA,8/2/21,0,0
11,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
12,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed2Date,7/9/21,7/12/21,1,8/2/21,0,3
13,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed3Date,7/9/21,7/12/21,1,8/2/21,0,3
14,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed4Date,7/9/21,7/13/21,1,8/2/21,0,4
15,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed5Date,7/9/21,7/13/21,1,8/2/21,0,4
16,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed6Date,7/9/21,7/13/21,1,8/2/21,0,4
17,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed7Date,7/9/21,7/18/21,1,8/2/21,0,9
18,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed8Date,7/9/21,7/18/21,1,8/2/21,0,9
19,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed9Date,7/9/21,7/22/21,1,8/2/21,0,13
20,BAY,Vegetated,BAY-O,B,2,1,Filter,B_01,Filter_B,2,8,0.8,Seed10Date,7/9/21,,NA,8/2/21,0,0
21,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed1Date,7/9/21,7/11/21,1,8/2/21,0,2
22,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed2Date,7/9/21,7/12/21,1,8/2/21,0,3
23,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed3Date,7/9/21,7/12/21,1,8/2/21,0,3
24,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed4Date,7/9/21,7/24/21,1,8/2/21,0,15
25,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed5Date,7/9/21,,NA,8/2/21,0,0
26,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed6Date,7/9/21,,NA,8/2/21,0,0
27,BAY,Vegetated,BAY-O,C,3,1,Filter,C_01,Filter_C,7,3,0.3,Seed7Date,7/9/21,,NA,8/2/21,0,0
