plant_id,population,region,diameter,nr_seeds,weight_allseeds,nr_seeds_weighed,seed_weight(mg)_per_seed
481,CE-LGR,CE,55,23,4.61,15,0.307333333
483,NL-SCH,NL,50,36,4.66,20,0.233
484,CE-SRK,CE,55,18,4.06,15,0.270666667
485,CE-JES,CE,65,26,6.89,26,0.265
486,CE-JAM,CE,45,19,3.71,17,0.218235294
487,CE-LLL,CE,55,21,4.33,15,0.288666667
488,FS-MER,FS,70,42,6.98,21,0.332380952
489,FC-COD,FC,65,33,7.73,28,0.276071429
490,CE-OAK,CE,52,20,4.98,15,0.332
492,CC-LEX,CC,35,16,0.14,2,0.07
494,NL-CUI,NL,61,36,6.09,23,0.264782609
495,CC-CVR,CC,65,23,6.38,17,0.375294118
496,CE-TUL,CE,52,20,4.65,18,0.258333333
497,NL-HAR,NL,66,34,12.95,31,0.417741935
498,CE-SCT,CE,55,24,4.06,16,0.25375
499,CC-BYD,CC,55,23,5.15,22,0.234090909
501,CE-DUT,CE,54,24,4.34,17,0.255294118
502,CC-SCR,CC,50,19,4.27,12,0.355833333
503,CE-CAR,CE,45,20,4.27,16,0.266875
504,CE-JVR,CE,55,24,5.06,16,0.31625
508,CC-GUA,CC,55,22,6.63,22,0.301363636
510,FC-COU,FC,75,27,5.32,16,0.3325
511,CC-ALM,CC,65,25,5.82,15,0.388
518,FC-MLB,FC,45,35,1.59,15,0.106
528,FS-VID,FS,NA,NA,4.96,17,0.291764706
538,FC-MMA,FC,55,33,3.38,18,0.187777778
542,NL-SCH,NL,53,35,4.83,20,0.2415
544,NL-LAR,NL,50,34,4.25,20,0.2125
549,FC-BOE,FC,55,34,7.84,30,0.261333333
552,CC-PPR,CC,50,22,3.17,17,0.186470588
554,FC-EVR,FC,53,38,2.3,16,0.14375
563,FS-FRE,FS,45,36,3.33,16,0.208125
565,NL-TIL,NL,62,36,3.18,16,0.19875
570,NL-CUI,NL,55,34,3.52,20,0.176
573,CC-SHL,CC,60,22,5.41,19,0.284736842
575,CC-BAI,CC,70,26,4.59,15,0.306
588,FC-COU,FC,63,38,2.63,15,0.175333333
620,FS-MER,FS,63,36,7.71,28,0.275357143
622,NL-LAR,NL,56,36,3.27,15,0.218
626,CC-CUP,CC,55,22,4.51,19,0.237368421
627,CC-OKA,CC,70,23,4.58,15,0.305333333
634,FC-LEM,FC,50,27,2.43,15,0.162
636,NL-DOR,NL,70,34,4.96,16,0.31
643,NL-TIL,NL,66,38,4.69,17,0.275882353
686,FS-FRE,FS,55,29,7.01,26,0.269615385
689,FS-VID,FS,60,35,9.31,33,0.282121212
729,FS-MER,FS,NA,NA,2.35,6,0.391666667
741,NL-DOR,NL,55,34,6.03,21,0.287142857
747,FC-ISB,FC,35,26,3.31,17,0.194705882
751,CE-DUT,CE,55,23,5.55,17,0.326470588
766,FC-COD,FC,90,41,7.2,25,0.288
781,FS-VID,FS,60,37,6.96,26,0.267692308
787,FS-FRE,FS,55,34,3.77,16,0.235625
832,FC-LEM,FC,55,35,7.3,30,0.243333333
865,FC-MLB,FC,48,35,2.96,15,0.197333333
879,NL-WHV,NL,60,36,3.83,18,0.212777778
888,FS-MER,FS,60,40,3.44,17,0.202352941
895,FS-VID,FS,41,36,2.42,9,0.268888889
916,FS-VID,FS,87,32,9.85,20,0.4925
928,CC-ALV,CC,46,20,4.55,14,0.325
