plot,plot_type
SCV_Water_District_Non-roadside,Offroad
SCV_Water_District_Roadside,Road
Baylands_Park_Non-roadside,Offroad
Baylands_Park_Roadside,Road
Lake_Cunningham_park_Non-roadside,Offroad
Lake_Cunningham_park_Roadside,Road
South_San_Jose_VTA_Non-roadside,Offroad
South_San_Jose_VTA_Roadside,Road
Coyote_creek_field_Non-roadside,Offroad
Coyote_creek_field_Roadside,Road
Alviso_Bay_trail_Non-roadside,Offroad
Alviso_Bay_trail_Roadside,Road
Calero_reservoir_Non-roadside,Offroad
Calero_reservoir_Roadside,Road
Campbell_percolation_ponds_Non-roadside,Offroad
Campbell_percolation_ponds_Roadside,Road
Lexington_reservoir_Non-roadside,Offroad
Lexington_reservoir_Roadside,Road
Metcalf_ponds_Non-roadside,Offroad
Metcalf_ponds_Roadside,Road
Penitencia_creek_Non-roadside,Offroad
Penitencia_creek_Roadside,Road
Parkway_lakes RV_Non-roadside,Offroad
Parkway_lakes RV_Roadside,Road
Chesboro_reservoir _Non-roadside,Offroad
Chesboro_reservoir _Roadside,Road
Oakridge_pond_Non-roadside,Offroad
Oakridge_pond_Roadside,Road
Guadalupe_reservoir_Non-roadside,Offroad
Guadalupe_reservoir_Roadside,Road
