Type,Location,Pop_size,%Dittrichia
Offroad,SCV Water District,500,2
Offroad,Baylands Park,100,2
Offroad,Lake Cunningham park,"1,000",6.666666667
Offroad,South San Jose VTA,100,10.66666667
Offroad,Coyote creek field,"1,000",40
Offroad,Alviso Bay trail,"10,000",42.66666667
Offroad,Calero reservoir,"1,000",25.66666667
Offroad,Campbell percolation ponds,500,16.66666667
Offroad,Lexington reservoir,"10,000",12.66666667
Offroad,Metcalf ponds,"1,000",14.33333333
Offroad,Penitencia creek,"10,000",36.33333333
Offroad,Parkway lakes RV,500,3
Offroad,Chesboro reservoir,500,14
Offroad,Oakridge pond,500,14
Offroad,Guadalupe reservoir,"1,000",47.33333333
Road,SCV Water District,500,7.333333333
Road,Baylands Park,10,0
Road,Lake Cunningham park,50,9
Road,South San Jose VTA,10,2
Road,Coyote creek field,50,7
Road,Alviso Bay trail,10,2
Road,Calero reservoir,100,12
Road,Campbell percolation ponds,10,1.333333333
Road,Lexington reservoir,10,4
Road,Metcalf ponds,50,2.666666667
Road,Penitencia creek,500,3
Road,Parkway lakes RV,"10,000",4.333333333
Road,Chesboro reservoir,100,3.333333333
Road,Oakridge pond,50,8
Road,Guadalupe reservoir,50,4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
