id,pop,rep,measure_traits
1,NL-CUI,A,yes
2,NL-HAR,A,yes
3,CE-SON,A,NA
4,CC-BYD,A,yes
5,NL-TIL,A,yes
6,CE-JAR,A,yes
7,CC-PPR,A,yes
8,CC-GUA,A,yes
9,NL-SCH,A,yes
10,NL-WHV,A,no
11,CE-JES,A,yes
12,CC-CVR,A,yes
13,CE-OAK,A,yes
14,CE-JVR,A,yes
15,CE-COL,A,NA
16,CE-JAM,A,yes
17,CE-SCT,A,yes
18,CC-ALV,A,yes
19,FC-COU,A,yes
20,FS-MER,A,yes
21,CC-OKA,A,yes
22,NL-LAR,A,yes
23,FS-LAT,A,NA
24,NL-DOR,A,NA
25,CC-SHL,A,yes
26,CC-BAI,A,yes
27,FS-FRE,A,yes
28,FS-VID,A,yes
29,CC-FOO,A,yes
30,CC-LEX,A,yes
31,CC-CUP,A,yes
32,CC-ALM,A,yes
33,CE-CAR,A,yes
34,CC-FBK,A,yes
35,FS-ARI,A,NA
36,CE-SRK,A,yes
37,FC-MLB,A,yes
38,CE-LGR,A,yes
39,CE-DUT,A,yes
40,FC-LEM,A,yes
41,FC-COD,A,yes
42,CE-LLL,A,yes
43,FC-ISB,A,yes
44,CC-SCR,A,yes
45,FC-MMA,A,NA
46,FC-EVR,A,yes
47,CE-TUL,A,yes
48,FC-BOE,A,yes
49,FC-EVR,A,yes
50,NL-TIL,A,yes
51,NL-SCH,A,yes
52,FS-MER,A,yes
53,CE-JVR,A,yes
54,CC-BAI,A,yes
55,CC-GUA,A,yes
56,CE-LGR,A,yes
57,FS-ARI,A,NA
58,FC-MLB,A,yes
59,NL-CUI,A,yes
60,CC-SCR,A,yes
61,NL-WHV,A,no
62,CC-CUP,A,yes
63,CC-LEX,A,yes
64,FC-BOE,A,yes
65,CE-LLL,A,yes
66,NL-HAR,A,yes
67,CC-FOO,A,yes
68,CE-SON,A,yes
69,CC-ALV,A,yes
70,CC-OKA,A,yes
71,FS-VID,A,yes
72,CC-BYD,A,yes
73,CC-FBK,A,yes
74,NL-LAR,A,yes
75,CE-SRK,A,yes
76,CE-DUT,A,yes
77,FC-MMA,A,yes
78,CE-SCT,A,yes
79,CC-ALM,A,yes
80,CE-JES,A,yes
81,FC-ISB,A,yes
82,NL-DOR,A,yes
83,CE-CAR,A,yes
84,CC-PPR,A,yes
85,FS-FRE,A,yes
86,FC-LEM,A,yes
87,FC-COD,A,yes
88,FC-COU,A,no
89,CE-OAK,A,yes
90,CE-JAM,A,yes
91,CE-TUL,A,yes
92,CC-SHL,A,yes
93,CE-JAR,A,yes
94,CE-COL,A,yes
95,FS-LAT,A,NA
96,CC-CVR,A,yes
97,FC-LEM,A,yes
98,FS-MER,A,yes
99,FS-ARI,A,NA
100,CC-FOO,A,yes
101,CC-GUA,A,yes
102,CC-LEX,A,yes
103,CC-CUP,A,yes
104,CC-FBK,A,yes
105,CE-COL,A,yes
106,CC-ALM,A,yes
107,FC-EVR,A,yes
108,CC-SHL,A,yes
109,NL-TIL,A,yes
110,CE-SCT,A,yes
111,FS-FRE,A,yes
112,CE-LLL,A,yes
113,CC-ALV,A,yes
114,NL-DOR,A,no
115,CE-OAK,A,yes
116,FC-MMA,A,NA
117,NL-LAR,A,yes
118,CE-SON,A,yes
119,FC-BOE,A,yes
120,CC-BAI,A,yes
121,FC-ISB,A,no
122,CE-JVR,A,NA
123,CC-SCR,A,yes
124,NL-SCH,A,yes
125,CE-LGR,A,yes
126,CE-CAR,A,yes
127,NL-WHV,A,yes
128,CC-OKA,A,yes
129,CC-CVR,A,yes
130,NL-CUI,A,yes
131,CE-DUT,A,yes
132,CE-JAR,A,yes
133,CE-JES,A,yes
