siteID,soil,df_type,inv,drought_trt,block,days_surv,censor,death_date,death_date_NA
3,S,primadonna,Br,drought,1,17,1,2018_9_21,2018_9_21
2,S,primadonna,Br,drought,1,17,1,2018_9_21,2018_9_21
2,S,primadonna,Br,drought,4,20,1,2018_9_24,2018_9_24
1,S,primadonna,Br,drought,7,20,1,2018_9_24,2018_9_24
1,S,primadonna,Br,drought,10,27,1,2018_10_1,2018_10_1
1,S,primadonna,Br,drought,8,27,1,2018_10_1,2018_10_1
1,S,primadonna,Br,drought,9,27,1,2018_10_1,2018_10_1
3,S,primadonna,Br,drought,2,29,1,2018_10_3,2018_10_3
3,S,primadonna,Br,drought,3,34,1,2018_10_8,2018_10_8
2,S,primadonna,Br,drought,9,41,1,2018_10_15,2018_10_15
3,S,primadonna,Br,drought,7,69,1,2018_11_13,2018_11_13
2,S,primadonna,Br,drought,10,69,1,2018_11_13,2018_11_13
3,S,primadonna,Br,drought,6,73,1,2018_11_16,2018_11_16
3,S,primadonna,Br,drought,8,73,1,2018_11_16,2018_11_16
3,S,primadonna,Br,drought,9,73,1,2018_11_16,2018_11_16
2,S,primadonna,Br,drought,8,73,1,2018_11_16,2018_11_16
3,S,primadonna,Br,drought,4,73,1,2018_11_16,2018_11_16
2,S,primadonna,Br,drought,2,73,1,2018_11_16,2018_11_16
1,S,primadonna,Br,drought,4,73,1,2018_11_16,2018_11_16
2,S,primadonna,Br,drought,5,73,1,2018_11_16,2018_11_16
2,S,primadonna,Br,drought,6,77,1,2018_11_20,2018_11_20
1,S,primadonna,Br,drought,6,77,1,2018_11_20,2018_11_20
1,S,primadonna,Br,drought,5,77,1,2018_11_20,2018_11_20
3,S,primadonna,Br,drought,5,80,1,2018_11_23,2018_11_23
1,S,primadonna,Br,drought,2,80,1,2018_11_23,2018_11_23
1,S,primadonna,Br,drought,3,80,1,2018_11_23,2018_11_23
1,S,primadonna,Br,drought,1,83,0,2018_11_26,NA
2,S,primadonna,Br,drought,7,83,0,2018_11_26,NA
1,S,street_fighter_1,Br,drought,1,83,0,2018_11_26,NA
1,S,street_fighter_1,Br,drought,4,24,1,2018_9_28,2018_9_28
2,S,street_fighter_1,Br,drought,6,27,1,2018_10_1,2018_10_1
2,S,street_fighter_1,Br,drought,10,27,1,2018_10_1,2018_10_1
2,S,street_fighter_1,Br,drought,2,27,1,2018_10_1,2018_10_1
1,S,street_fighter_1,Br,drought,8,29,1,2018_10_3,2018_10_3
3,S,street_fighter_1,Br,drought,5,29,1,2018_10_3,2018_10_3
1,S,street_fighter_1,Br,drought,7,29,1,2018_10_3,2018_10_3
2,S,street_fighter_1,Br,drought,1,34,1,2018_10_8,2018_10_8
1,S,street_fighter_1,Br,drought,2,34,1,2018_10_8,2018_10_8
3,S,street_fighter_1,Br,drought,1,34,1,2018_10_8,2018_10_8
3,S,street_fighter_1,Br,drought,8,41,1,2018_10_15,2018_10_15
3,S,street_fighter_1,Br,drought,3,41,1,2018_10_15,2018_10_15
1,S,street_fighter_1,Br,drought,5,45,1,2018_10_19,2018_10_19
1,S,street_fighter_1,Br,drought,10,69,1,2018_11_13,2018_11_13
1,S,street_fighter_1,Br,drought,9,69,1,2018_11_13,2018_11_13
3,S,street_fighter_1,Br,drought,2,69,1,2018_11_13,2018_11_13
2,S,street_fighter_1,Br,drought,8,73,1,2018_11_16,2018_11_16
2,S,street_fighter_1,Br,drought,3,73,1,2018_11_16,2018_11_16
3,S,street_fighter_1,Br,drought,9,73,1,2018_11_16,2018_11_16
2,S,street_fighter_1,Br,drought,7,73,1,2018_11_16,2018_11_16
3,S,street_fighter_1,Br,drought,10,73,1,2018_11_16,2018_11_16
3,S,street_fighter_1,Br,drought,7,77,1,2018_11_20,2018_11_20
2,S,street_fighter_1,Br,drought,9,77,1,2018_11_20,2018_11_20
