"","Block","Species","Pattern","Elevation","Division","Distichlis","Extriplex","Frankenia","Jaumea","Sperg.MACROTHECA"
"1",1,"E","U",2.196,6,0,0,0,0,0
"2",1,"E","U",2.192,6,0,0,0,0,0
"3",1,"E","U",2.187,6,0,0,0,0,0
"4",1,"E","U",2.183,6,0,0,0,0,0
"5",1,"E","U",2.179,6,0,0,0,0,0
"6",1,"E","U",2.175,6,0,0,0,0,0
"7",1,"E","U",2.17,6,0,1,0,0,0
"8",1,"E","U",2.166,6,0,0,0,0,0
"9",1,"E","U",2.162,6,0,0,0,0,0
"10",1,"E","U",2.158,5,0,1,0,0,0
"11",1,"E","U",2.153,5,0,0,0,0,0
"12",1,"E","U",2.149,5,0,0,0,0,0
"13",1,"E","U",2.145,5,0,0,0,0,0
"14",1,"E","U",2.141,5,0,0,0,0,0
"15",1,"E","U",2.136,5,0,0,0,0,0
"16",1,"E","U",2.132,5,0,0,0,0,0
"17",1,"E","U",2.128,5,0,0,0,0,0
"18",1,"E","U",2.124,5,0,0,0,0,0
"19",1,"E","U",2.119,5,0,0,0,0,0
"20",1,"E","U",2.115,4,0,0,0,0,0
"21",1,"E","U",2.111,4,0,1,0,0,0
"22",1,"E","U",2.107,4,0,0,0,0,0
"23",1,"E","U",2.103,4,0,0,0,0,0
"24",1,"E","U",2.098,4,0,0,0,0,0
"25",1,"E","U",2.094,4,0,0,0,0,0
"26",1,"E","U",2.09,4,0,0,0,0,0
"27",1,"E","U",2.086,4,0,0,0,0,0
"28",1,"E","U",2.081,4,0,0,0,0,0
"29",1,"E","U",2.077,4,0,0,0,0,0
"30",1,"E","U",2.073,3,0,1,0,0,0
"31",1,"E","U",2.069,3,0,0,0,0,0
"32",1,"E","U",2.064,3,0,0,0,0,0
"33",1,"E","U",2.06,3,0,0,0,0,0
"34",1,"E","U",2.056,3,0,0,0,0,0
"35",1,"E","U",2.052,3,0,0,0,0,0
"36",1,"E","U",2.047,3,0,0,0,0,0
"37",1,"E","U",2.043,3,0,0,0,0,0
"38",1,"E","U",2.039,3,0,0,0,0,0
"39",1,"E","U",2.035,3,0,0,0,0,0
"40",1,"E","U",2.031,2,0,0,0,0,0
"41",1,"E","U",2.026,2,0,0,0,0,0
"42",1,"E","U",2.022,2,0,0,0,0,0
"43",1,"E","U",2.018,2,0,1,0,0,0
"44",1,"E","U",2.014,2,0,0,0,0,0
"45",1,"E","U",2.009,2,0,0,0,0,0
"46",1,"E","U",2.005,2,0,0,0,0,0
"47",1,"E","U",2.001,2,0,0,0,0,0
"48",1,"E","U",1.997,2,0,0,0,0,0
"49",1,"E","U",1.992,2,0,0,0,0,0
"50",1,"E","U",1.988,1,0,0,0,0,0
"51",1,"E","U",1.984,1,0,0,0,0,0
"52",1,"E","U",1.98,1,0,0,0,0,0
"53",1,"E","U",1.975,1,0,0,0,0,0
"54",1,"E","U",1.971,1,0,0,0,0,0
"55",1,"E","U",1.967,1,0,0,0,0,0
"56",1,"E","U",1.963,1,0,0,0,0,0
"57",1,"E","U",1.958,1,0,0,0,0,0
"58",1,"E","U",1.954,1,0,0,0,0,0
"59",1,"E","U",1.95,1,0,0,0,0,0
